"HaMelacha St 1, Ramat Gan, Israel",32.0911975,34.803235
"HaMelacha St 2, Ramat Gan, Israel",32.0912827,34.8031802
"HaMelacha St 3, Ramat Gan, Israel",32.0908577,34.8028032
"HaMelacha St 4, Ramat Gan, Israel",32.091326,34.8032739
"HaMelacha St 5, Ramat Gan, Israel",32.0906668,34.8025947
"HaMelacha St 6, Ramat Gan, Israel",32.0908856,34.8026718
"HaMelacha St 7, Ramat Gan, Israel",32.09064,34.8025478
"HaMelacha St 8, Ramat Gan, Israel",32.0908168,34.8023853
"HaMelacha St 9, Ramat Gan, Israel",32.0903675,34.8023459
"HaMelacha St 10, Ramat Gan, Israel",32.0906369,34.8022162
"HaMelacha St 11, Ramat Gan, Israel",32.0901709,34.8022729
"HaMelacha St 12, Ramat Gan, Israel",32.0904894,34.802153
"HaMelacha St 13, Ramat Gan, Israel",32.0901725,34.8022685
"HaMelacha St 14, Ramat Gan, Israel",32.0903523,34.802083
"HaMelacha St 15, Ramat Gan, Israel",32.0901725,34.8022685
"HaMelacha St 16, Ramat Gan, Israel",32.0901504,34.802002
"Anne Frank St 1, Ramat Gan, Israel",32.0913689,34.8018629
"Anne Frank St 2, Ramat Gan, Israel",32.0913689,34.8018629
"Anne Frank St 3, Ramat Gan, Israel",32.0908577,34.8028032
"Anne Frank St 4, Ramat Gan, Israel",32.0911801,34.8019927
"Anne Frank St 5, Ramat Gan, Israel",32.0908146,34.8027315
"Anne Frank St 6, Ramat Gan, Israel",32.0908856,34.8026718
"Anne Frank St 7, Ramat Gan, Israel",32.0912311,34.8030897
"Anne Frank St 9, Ramat Gan, Israel",32.0910554,34.8031912
"Anne Frank St 10, Ramat Gan, Israel",32.0908728,34.803054
"Anne Frank St 12, Ramat Gan, Israel",32.0900601,34.8035691
"Anne Frank St, Ramat Gan, Israel",32.0908115,34.8025488
"Anne Frank St 15, Ramat Gan, Israel",32.0905029,34.8035914
"Anne Frank St 16, Ramat Gan, Israel",32.0891779,34.803718
"Anne Frank St 17, Ramat Gan, Israel",32.090297,34.8037264
"Anne Frank St 19, Ramat Gan, Israel",32.090101,34.8038017
"Anne Frank St, Ramat Gan, Israel",32.0908115,34.8025488
"Anne Frank St 22, Ramat Gan, Israel",32.0890756,34.8038253
"Anne Frank St 23, Ramat Gan, Israel",32.0896073,34.803774
"Anne Frank St 26, Ramat Gan, Israel",32.0890756,34.8038253
"Anne Frank St 30, Ramat Gan, Israel",32.0890756,34.8038253
"Yeda Am St 1, Ramat Gan, Israel",32.0893415,34.8035416
"Yeda Am St 2, Ramat Gan, Israel",32.0896392,34.8034249
"Yeda Am St 3, Ramat Gan, Israel",32.0893489,34.8032633
"Yeda Am St 4, Ramat Gan, Israel",32.0894393,34.8029566
"Yeda Am St 5, Ramat Gan, Israel",32.089369,34.803045
"Yeda Am St 6, Ramat Gan, Israel",32.0894469,34.8028531
"Yeda Am St 7, Ramat Gan, Israel",32.0893171,34.8027684
"Yeda Am St 8, Ramat Gan, Israel",32.0898023,34.8027647
"Yeda Am St 9, Ramat Gan, Israel",32.0893699,34.8025376
"Yeda Am St 10, Ramat Gan, Israel",32.0898021,34.8027646
"Yeda Am St 11, Ramat Gan, Israel",32.089432,34.8023042
"Yeda Am St 12, Ramat Gan, Israel",32.0898021,34.8027646
"Yeda Am St 13, Ramat Gan, Israel",32.089505,34.8021778
"Yeda Am St 14, Ramat Gan, Israel",32.0898021,34.8027646
"Yeda Am St 15, Ramat Gan, Israel",32.0895826,34.8020499
"Yeda Am St 16, Ramat Gan, Israel",32.0898021,34.8027646
"Yeda Am St 17, Ramat Gan, Israel",32.0896388,34.8019079
"Yeda Am St 18, Ramat Gan, Israel",32.0900055,34.8018929
"Yeda Am St 19, Ramat Gan, Israel",32.0897106,34.8017978
"Yeda Am St 20, Ramat Gan, Israel",32.0900055,34.8018929
"Yeda Am St 21, Ramat Gan, Israel",32.0898635,34.8020949
