sensor_id,address,capacity,status,longitude,latitude,last_time_updated
1003,"HaMelacha St 4, Ramat Gan, Israel",0,online,32.091326,34.8032739,2019-06-08
1008,"HaMelacha St 9, Ramat Gan, Israel",21,online,32.0903675,34.8023459,2019-06-08
1009,"HaMelacha St 10, Ramat Gan, Israel",22,online,32.0906369,34.8022162,2019-06-08
1011,"HaMelacha St 12, Ramat Gan, Israel",17,online,32.0904894,34.802153,2019-06-08
1014,"HaMelacha St 15, Ramat Gan, Israel",0,online,32.0901725,34.8022685,2019-06-08
1015,"HaMelacha St 16, Ramat Gan, Israel",16,online,32.0901504,34.802002,2019-06-08
1016,"Anne Frank St 1, Ramat Gan, Israel",19,online,32.0913689,34.8018629,2019-06-08
1018,"Anne Frank St 3, Ramat Gan, Israel",0,online,32.0908577,34.8028032,2019-06-08
1022,"Anne Frank St 7, Ramat Gan, Israel",20,online,32.0912311,34.8030897,2019-06-08
1024,"Anne Frank St 12, Ramat Gan, Israel",0,online,32.0900011,34.8030246,2019-06-08
1028,"Anne Frank St 13, Ramat Gan, Israel",0,online,32.0906433,34.8034731,2019-06-08
1029,"Anne Frank St 14, Ramat Gan, Israel",0,online,32.0892801,34.8036105,2019-06-08
1030,"Anne Frank St 15, Ramat Gan, Israel",19,online,32.0905029,34.8035914,2019-06-08
1031,"Anne Frank St 16, Ramat Gan, Israel",0,online,32.0891779,34.803718,2019-06-08
1032,"Anne Frank St 17, Ramat Gan, Israel",0,online,32.0902985,34.8037294,2019-06-08
1033,"Anne Frank St 18, Ramat Gan, Israel",20,online,32.0890817,34.8038335,2019-06-08
1035,"Anne Frank St 20, Ramat Gan, Israel",22,online,32.0890817,34.8038335,2019-06-08
1036,"Anne Frank St 21, Ramat Gan, Israel",20,online,32.089906,34.8037927,2019-06-08
1037,"Anne Frank St 22, Ramat Gan, Israel",0,offline,32.0890817,34.8038335,2019-06-08
1038,"Anne Frank St 23, Ramat Gan, Israel",0,online,32.0896073,34.803774,2019-06-08
1039,"Anne Frank St 24, Ramat Gan, Israel",17,online,32.0890817,34.8038335,2019-06-08
1040,"Ramat Gan, Israel",17,online,32.068424,34.824785,2019-06-08
1043,"Anne Frank St 28, Ramat Gan, Israel",0,online,32.0890817,34.8038335,2019-06-08
1044,"Anne Frank St 29, Ramat Gan, Israel",19,online,32.0892056,34.8040478,2019-06-08
1046,"Yeda Am St 1, Ramat Gan, Israel",0,online,32.0893415,34.8035416,2019-06-08
1051,"Yeda Am St 6, Ramat Gan, Israel",13,online,32.0894469,34.8028531,2019-06-08
1052,"Yeda Am St 7, Ramat Gan, Israel",24,online,32.0893171,34.8027684,2019-06-08
