32.0911975,34.803235,"HaMelacha St 1, Ramat Gan, Israel"
32.0912827,34.8031802,"HaMelacha St 2, Ramat Gan, Israel"
32.0908577,34.8028032,"HaMelacha St 3, Ramat Gan, Israel"
32.091326,34.8032739,"HaMelacha St 4, Ramat Gan, Israel"
32.0906668,34.8025947,"HaMelacha St 5, Ramat Gan, Israel"
32.0908856,34.8026718,"HaMelacha St 6, Ramat Gan, Israel"
32.09064,34.8025478,"HaMelacha St 7, Ramat Gan, Israel"
32.0908168,34.8023853,"HaMelacha St 8, Ramat Gan, Israel"
32.0903675,34.8023459,"HaMelacha St 9, Ramat Gan, Israel"
32.0906369,34.8022162,"HaMelacha St 10, Ramat Gan, Israel"
32.0901709,34.8022729,"HaMelacha St 11, Ramat Gan, Israel"
32.0904894,34.802153,"HaMelacha St 12, Ramat Gan, Israel"
32.0901725,34.8022685,"HaMelacha St 13, Ramat Gan, Israel"
32.0903523,34.802083,"HaMelacha St 14, Ramat Gan, Israel"
32.0901725,34.8022685,"HaMelacha St 15, Ramat Gan, Israel"
32.0901504,34.802002,"HaMelacha St 16, Ramat Gan, Israel"
